"Período";"Saldo Balanza Comercial en Millones USD FOB"
"2016-12-01 00:00:00";85,723616881
"2017-01-01 00:00:00";92,903721609
"2017-02-01 00:00:00";340,051248109
"2017-03-01 00:00:00";21,726622859
"2017-04-01 00:00:00";198,63653777
"2017-05-01 00:00:00";80,41731719
"2017-06-01 00:00:00";-183,648239371
"2017-07-01 00:00:00";30,541689261
"2017-08-01 00:00:00";-321,581334495
"2017-09-01 00:00:00";-76,841247065
"2017-10-01 00:00:00";-72,663185757
"2017-11-01 00:00:00";-158,567461363
"2017-12-01 00:00:00";81,420904094
"2018-01-01 00:00:00";-12,979833433
"2018-02-01 00:00:00";32,340086509
"2018-03-01 00:00:00";175,634241848
"2018-04-01 00:00:00";-4,556525754
"2018-05-01 00:00:00";-30,173209087
"2018-06-01 00:00:00";57,14172573
"2018-07-01 00:00:00";-35,66235124
"2018-08-01 00:00:00";-146,15350193
"2018-09-01 00:00:00";-2,682313489
"2018-10-01 00:00:00";-244,214839689
"2018-11-01 00:00:00";-256,118073279
"2018-12-01 00:00:00";12,698861789
"2019-01-01 00:00:00";-295,057107771
"2019-02-01 00:00:00";53,628020441
"2019-03-01 00:00:00";200,376524348
"2019-04-01 00:00:00";85,86681966
"2019-05-01 00:00:00";-35,915133388
"2019-06-01 00:00:00";55,370645493
"2019-07-01 00:00:00";62,721469495
"2019-08-01 00:00:00";111,202753549
"2019-09-01 00:00:00";62,091663555
"2019-10-01 00:00:00";-176,524298473
"2019-11-01 00:00:00";208,238407007
"2019-12-01 00:00:00";394,833802034
"2020-01-01 00:00:00";166,764591495
"2020-02-01 00:00:00";379,449491388
"2020-03-01 00:00:00";203,189041738
"2020-04-01 00:00:00";18,203144994
"2020-05-01 00:00:00";273,1384403
"2020-06-01 00:00:00";399,107265063
"2020-07-01 00:00:00";252,246004519
"2020-08-01 00:00:00";433,860048864
"2020-09-01 00:00:00";401,664590515
"2020-10-01 00:00:00";329,3786277
"2020-11-01 00:00:00";411,704772788
"2020-12-01 00:00:00";114,90547537
"2021-01-01 00:00:00";220,216153181
"2021-02-01 00:00:00";421,099613369
"2021-03-01 00:00:00";184,859065473
"2021-04-01 00:00:00";421,639923248
"2021-05-01 00:00:00";451,707149097
"2021-06-01 00:00:00";331,652500983
"2021-07-01 00:00:00";94,222416069
"2021-08-01 00:00:00";-4,305153558
"2021-09-01 00:00:00";205,021745569
"2021-10-01 00:00:00";473,761397231
"2021-11-01 00:00:00";311,792599596
"2021-12-01 00:00:00";-243,385817323
"2022-01-01 00:00:00";110,234490429
"2022-02-01 00:00:00";493,422965387
"2022-03-01 00:00:00";328,917409313
"2022-04-01 00:00:00";412,407440232
"2022-05-01 00:00:00";351,155613632
"2022-06-01 00:00:00";305,060810387
"2022-07-01 00:00:00";243,059922753
"2022-08-01 00:00:00";6,231112901
"2022-09-01 00:00:00";-120,16834715
"2022-10-01 00:00:00";127,614243903
"2022-11-01 00:00:00";-129,505421357
"2022-12-01 00:00:00";196,076751086
"2023-01-01 00:00:00";13,2867353749998
"2023-02-01 00:00:00";242,557313676999
"2023-03-01 00:00:00";186,545744074
"2023-04-01 00:00:00";224,515282159
"2023-05-01 00:00:00";206,076599675
"2023-06-01 00:00:00";256,57166198
"2023-07-01 00:00:00";221,539133302
"2023-08-01 00:00:00";-98,452612818
"2023-09-01 00:00:00";525,078755016
"2023-10-01 00:00:00";-24,8385860070002
"2023-11-01 00:00:00";-98,349249678
"2023-12-01 00:00:00";340,431486091
"2024-01-01 00:00:00";439,376322444
"2024-02-01 00:00:00";678,868794265
"2024-03-01 00:00:00";588,008897387
"2024-04-01 00:00:00";595,145078106
"2024-05-01 00:00:00";698,920431013
"2024-06-01 00:00:00";738,756450176
"2024-07-01 00:00:00";462,328847158
"2024-08-01 00:00:00";428,635541061
"2024-09-01 00:00:00";487,207604042
"2024-10-01 00:00:00";400,527675525
"2024-11-01 00:00:00";487,922936372
"2024-12-01 00:00:00";671,324159661001
"2025-01-01 00:00:00";714,837776647
"2025-02-01 00:00:00";647,04085258
"2025-03-01 00:00:00";926,130140538
"2025-04-01 00:00:00";517,384817024
"2025-05-01 00:00:00";657,778130594
"2025-06-01 00:00:00";703,156393366
"2025-07-01 00:00:00";-256,969910309
"2025-08-01 00:00:00";595,795959848
"2025-09-01 00:00:00";185,564415053
"2025-10-01 00:00:00";361,508402191
"2025-11-01 00:00:00";744,169571725
