"Período";"Producción Petrolera Nacional en Barriles - Diaria"
"2018-05-27 00:00:00";522369,9
"2018-05-28 00:00:00";516408,58
"2018-05-29 00:00:00";518159,88
"2018-05-30 00:00:00";519412,84
"2018-05-31 00:00:00";520275,84
"2018-06-01 00:00:00";518165,59
"2018-06-02 00:00:00";518265,13
"2018-06-03 00:00:00";516879,39
"2018-06-04 00:00:00";515048,98
"2018-06-05 00:00:00";517841,75
"2018-06-06 00:00:00";518180,91
"2018-06-07 00:00:00";512426,79
"2018-06-08 00:00:00";514079,54
"2018-06-09 00:00:00";514146,88
"2018-06-10 00:00:00";516770,49
"2018-06-11 00:00:00";516645,13
"2018-06-12 00:00:00";517013,87
"2018-06-13 00:00:00";518447,21
"2018-06-14 00:00:00";518347,21
"2018-06-15 00:00:00";516385,54
"2018-06-16 00:00:00";515569,05
"2018-06-17 00:00:00";516343,23
"2018-06-18 00:00:00";515889,89
"2018-06-19 00:00:00";515625,71
"2018-06-20 00:00:00";516018,07
"2018-06-21 00:00:00";518433,4
"2018-06-22 00:00:00";520366,56
"2018-06-23 00:00:00";519608,39
"2018-06-24 00:00:00";518128,89
"2018-06-25 00:00:00";517782,59
"2018-06-26 00:00:00";516071,86
"2018-06-27 00:00:00";518175,36
"2018-06-28 00:00:00";519344,32
"2018-06-29 00:00:00";517497,38
"2018-06-30 00:00:00";519394,51
"2018-07-01 00:00:00";517006,19
"2018-07-02 00:00:00";519761,08
"2018-07-03 00:00:00";519507,51
"2018-07-04 00:00:00";514868,66
"2018-07-05 00:00:00";512172
"2018-07-06 00:00:00";517902,03
"2018-07-07 00:00:00";518361,03
"2018-07-08 00:00:00";513185,49
"2018-07-09 00:00:00";520596,18
"2018-07-10 00:00:00";519997,31
"2018-07-11 00:00:00";523133,47
"2018-07-12 00:00:00";521488,28
"2018-07-13 00:00:00";520858,14
"2018-07-14 00:00:00";521590,1
"2018-07-15 00:00:00";519339,21
"2018-07-16 00:00:00";522323,61
"2018-07-17 00:00:00";520787,51
"2018-07-18 00:00:00";520961,26
"2018-07-19 00:00:00";519787,68
"2018-07-20 00:00:00";521933,04
"2018-07-21 00:00:00";519394,74
"2018-07-22 00:00:00";527241,55
"2018-07-23 00:00:00";526314,42
"2018-07-24 00:00:00";530315,15
"2018-07-25 00:00:00";532734,52
"2018-07-26 00:00:00";533157,33
"2018-07-27 00:00:00";534693,81
"2018-07-28 00:00:00";533699,32
"2018-07-29 00:00:00";533879,9
"2018-07-30 00:00:00";533504,14
"2018-07-31 00:00:00";533077,85
"2018-08-01 00:00:00";532904,88
"2018-08-02 00:00:00";535513,01
"2018-08-03 00:00:00";532133,68
"2018-08-04 00:00:00";529298,28
"2018-08-05 00:00:00";529674,44
"2018-08-06 00:00:00";526947,35
"2018-08-07 00:00:00";524404,62
"2018-08-08 00:00:00";530122,53
"2018-08-09 00:00:00";532714,28
"2018-08-10 00:00:00";531608,14
"2018-08-11 00:00:00";533204,71
"2018-08-12 00:00:00";529993,59
"2018-08-13 00:00:00";529045,88
"2018-08-14 00:00:00";532439,77
"2018-08-15 00:00:00";530827,5
"2018-08-16 00:00:00";530881,35
"2018-08-17 00:00:00";532840,45
"2018-08-18 00:00:00";527780,94
"2018-08-19 00:00:00";532967,21
"2018-08-20 00:00:00";531251,31
"2018-08-21 00:00:00";532244,16
"2018-08-22 00:00:00";530492,16
"2018-08-23 00:00:00";531076,55
"2018-08-24 00:00:00";527715,22
"2018-08-25 00:00:00";530019,95
"2018-08-26 00:00:00";522841,07
